"user_id","dt","ad_network"
"ca9f85f88592b454","2021-02-01","FB"
"ac48d22760aaa4a2","2021-02-01","FB"
"65aa07aa36ca0463","2021-02-01","FB"
"9b9d19a845c4f82a","2021-02-01","FB"
"63c6ff4d30363a73","2021-02-01","FB"
"a34abf13809b5c67","2021-02-01","FB"
"c98c27c06c5843ca","2021-02-01","FB"
"a1d56d0638801369","2021-02-01","FB"
"9507d672d0b83571","2021-02-01","FB"
"677c9c39527f5caa","2021-02-01","FB"
"5ff5401a83918305","2021-02-01","FB"
"2704dd04bb442a9a","2021-02-01","FB"
"417f9b9620c486af","2021-02-01","FB"
"a08fbcbb314b3906","2021-02-01","FB"
"75203700029c44bc","2021-02-01","FB"
"02103a443b3a9a4d","2021-02-01","FB"
"2bd14b01b8aab300","2021-02-01","FB"
"7ac2f67b850dcd0b","2021-02-01","FB"
"21fc1b109b092b15","2021-02-01","FB"
"0304fc184795d7ba","2021-02-01","FB"
"78fbcaa65dd4bc0a","2021-02-01","FB"
"03813f2c84ab9a48","2021-02-01","FB"
"730a2134df25120c","2021-02-01","FB"
"a287fb06399832bc","2021-02-01","FB"
"3877fcfa6ff4cbcb","2021-02-01","FB"
"c6a9fc7691fb3b3f","2021-02-01","FB"
"514b65395b4f0773","2021-02-01","FB"
"b30c52f2fa398cc8","2021-02-01","FB"
"91264443123558f7","2021-02-01","FB"
"93df9375b93cbda4","2021-02-01","FB"
"52cbfbd6a4b044b0","2021-02-01","FB"
"cfb34d65c133526b","2021-02-01","FB"
"83c1d9a79791d76a","2021-02-01","FB"
"4c6dc2b9b02fd3d8","2021-02-01","FB"
"1cc5d1d1a8aa1c99","2021-02-01","FB"
"4d0c8b44a8bbffba","2021-02-01","FB"
"4d698ab3614f7f0d","2021-02-01","FB"
"5c6630890c730087","2021-02-01","FB"
"9a1976a268738b05","2021-02-01","FB"
"8bf2a377df8a503c","2021-02-01","FB"
"c677cdd87558b575","2021-02-01","FB"
"f4a4fb348a065644","2021-02-01","FB"
"db0780a046cddbb5","2021-02-01","FB"
"f79370fbca6a99bf","2021-02-01","FB"
"141a56947b957927","2021-02-01","FB"
"52fa4bc28f2d1727","2021-02-01","FB"
"8c8a102ada6014f4","2021-02-01","FB"
"99a33abd2f75d434","2021-02-01","FB"
"1bda95c2549d227d","2021-02-01","FB"
"344bcd949a1a7698","2021-02-01","FB"
"44b35b883d09777c","2021-02-01","FB"
"b265c61a4d6962f9","2021-02-01","FB"
"069ddc2db41b739f","2021-02-01","FB"
"aafa515b7f39421d","2021-02-01","FB"
"b0438df8866d87bd","2021-02-01","FB"
"9551f86f40cdb433","2021-02-01","FB"
"62927488d471132b","2021-02-01","FB"
"d8d1c159a4b0a572","2021-02-01","FB"
"0312c8404a182b96","2021-02-01","FB"
"db43bb5dfbc0c8d6","2021-02-01","FB"
"57600bfc9bcf486b","2021-02-01","FB"
"d28bd71317745a9a","2021-02-01","FB"
"6a2d5c0999014077","2021-02-01","FB"
"3ba0d670c0487073","2021-02-01","FB"
"09a904c0b30273d0","2021-02-01","FB"
"329205b5f22fcf8d","2021-02-01","FB"
"70ddf44ff80ff7f3","2021-02-01","FB"
"4b60891205cdb579","2021-02-01","FB"
"10665324c1d40708","2021-02-01","FB"
"d4c46dc37f3faf57","2021-02-01","FB"
"63d6c916a8f22139","2021-02-01","FB"
"800896df0205c2d0","2021-02-01","FB"
"8b0d182c351241dd","2021-02-01","FB"
"993d94c43965d4b4","2021-02-01","FB"
"bb68ff98d205a235","2021-02-01","FB"
"386b4f7070c74945","2021-02-01","FB"
"9dd0526735d58a32","2021-02-01","FB"
"c85bb72f95fb31f0","2021-02-01","FB"
"0d0dcb4c59b45d4f","2021-02-01","FB"
"3963a12cb8121b2b","2021-02-01","FB"
"b6579cafd124a561","2021-02-01","FB"
